seqnum,0_id,20_id,40_id,60_id,80_id
1100,3llndrrkM93PokRUGstLUQ,FALXyDhEqG31a1wfloADvw,24veQC449IuQZLjR5wtVbQ,WTAHLNh-KbyuvqggVLtUWQ,ACeVFtZc3icIZFRcukGbfw
1200,3llndrrkM93PokRUGstLUQ,FALXyDhEqG31a1wfloADvw,24veQC449IuQZLjR5wtVbQ,WTAHLNh-KbyuvqggVLtUWQ,ACeVFtZc3icIZFRcukGbfw
1300,3llndrrkM93PokRUGstLUQ,FALXyDhEqG31a1wfloADvw,24veQC449IuQZLjR5wtVbQ,WTAHLNh-KbyuvqggVLtUWQ,ACeVFtZc3icIZFRcukGbfw
1400,3llndrrkM93PokRUGstLUQ,FALXyDhEqG31a1wfloADvw,24veQC449IuQZLjR5wtVbQ,WTAHLNh-KbyuvqggVLtUWQ,ACeVFtZc3icIZFRcukGbfw
1500,3llndrrkM93PokRUGstLUQ,FALXyDhEqG31a1wfloADvw,rXJTWJEDx_S1Iv77vsQa6g,WTAHLNh-KbyuvqggVLtUWQ,ACeVFtZc3icIZFRcukGbfw
1600,3llndrrkM93PokRUGstLUQ,FALXyDhEqG31a1wfloADvw,rXJTWJEDx_S1Iv77vsQa6g,WTAHLNh-KbyuvqggVLtUWQ,ACeVFtZc3icIZFRcukGbfw
1700,3llndrrkM93PokRUGstLUQ,vhk1iyCeCDXB13Xlyrpjpg,rXJTWJEDx_S1Iv77vsQa6g,WTAHLNh-KbyuvqggVLtUWQ,ACeVFtZc3icIZFRcukGbfw
1800,3llndrrkM93PokRUGstLUQ,vhk1iyCeCDXB13Xlyrpjpg,rXJTWJEDx_S1Iv77vsQa6g,WTAHLNh-KbyuvqggVLtUWQ,ACeVFtZc3icIZFRcukGbfw
1900,3llndrrkM93PokRUGstLUQ,vhk1iyCeCDXB13Xlyrpjpg,rXJTWJEDx_S1Iv77vsQa6g,WTAHLNh-KbyuvqggVLtUWQ,ACeVFtZc3icIZFRcukGbfw
2000,3llndrrkM93PokRUGstLUQ,vhk1iyCeCDXB13Xlyrpjpg,rXJTWJEDx_S1Iv77vsQa6g,WTAHLNh-KbyuvqggVLtUWQ,ACeVFtZc3icIZFRcukGbfw
2100,3llndrrkM93PokRUGstLUQ,vhk1iyCeCDXB13Xlyrpjpg,rXJTWJEDx_S1Iv77vsQa6g,WTAHLNh-KbyuvqggVLtUWQ,kEH9rD6yJbGYcvp9_2RKrQ
2200,3llndrrkM93PokRUGstLUQ,vhk1iyCeCDXB13Xlyrpjpg,rXJTWJEDx_S1Iv77vsQa6g,WTAHLNh-KbyuvqggVLtUWQ,kEH9rD6yJbGYcvp9_2RKrQ
2300,3llndrrkM93PokRUGstLUQ,vhk1iyCeCDXB13Xlyrpjpg,rXJTWJEDx_S1Iv77vsQa6g,WTAHLNh-KbyuvqggVLtUWQ,kEH9rD6yJbGYcvp9_2RKrQ
2400,3llndrrkM93PokRUGstLUQ,vhk1iyCeCDXB13Xlyrpjpg,rXJTWJEDx_S1Iv77vsQa6g,WTAHLNh-KbyuvqggVLtUWQ,kEH9rD6yJbGYcvp9_2RKrQ
2500,3llndrrkM93PokRUGstLUQ,cspYHQLkOclS4xsG1qvVuA,rXJTWJEDx_S1Iv77vsQa6g,WTAHLNh-KbyuvqggVLtUWQ,kEH9rD6yJbGYcvp9_2RKrQ
2600,3llndrrkM93PokRUGstLUQ,cspYHQLkOclS4xsG1qvVuA,rXJTWJEDx_S1Iv77vsQa6g,WTAHLNh-KbyuvqggVLtUWQ,kEH9rD6yJbGYcvp9_2RKrQ
2700,3llndrrkM93PokRUGstLUQ,cspYHQLkOclS4xsG1qvVuA,rXJTWJEDx_S1Iv77vsQa6g,WTAHLNh-KbyuvqggVLtUWQ,kEH9rD6yJbGYcvp9_2RKrQ
2800,3llndrrkM93PokRUGstLUQ,cspYHQLkOclS4xsG1qvVuA,rXJTWJEDx_S1Iv77vsQa6g,WTAHLNh-KbyuvqggVLtUWQ,kEH9rD6yJbGYcvp9_2RKrQ
2900,3llndrrkM93PokRUGstLUQ,cspYHQLkOclS4xsG1qvVuA,rXJTWJEDx_S1Iv77vsQa6g,WTAHLNh-KbyuvqggVLtUWQ,kEH9rD6yJbGYcvp9_2RKrQ
3000,3llndrrkM93PokRUGstLUQ,cspYHQLkOclS4xsG1qvVuA,rXJTWJEDx_S1Iv77vsQa6g,WTAHLNh-KbyuvqggVLtUWQ,kEH9rD6yJbGYcvp9_2RKrQ
